pi,ro,collab,institute,scope,collabing_pi
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Timothy  Strauman,Duke University Health System,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Akihiro  Takamiya,"Keio University, School of Medicine",EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Victor  Tang,University of Toronto,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Jeroen   van Waarde,Rijnstate Hospital,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Aristotle  Voineskos,University of Toronto,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Valerie  Voon,University of Cambridge,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Fan  Yong,University of Pennsylvania Health System,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Jonathan  Young,Durham VA Medical Center,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Xiaochu  Zhang,University of Science and Technology of China,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,Christoph  Zrenner,University of Toronto,EM,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,David Lozoff Brody,NINDS,NIH,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Leonardo G Cohen, MD",NINDS,NIH,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Hanbing  Lu, PhD",NIDA,NIH,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Betty Jo  Salmeron, MD",NIDA,NIH,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"William Harold Theodore, MD",NINDS,NIH,
"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Eric M Wassermann, MA, MD",NINDS,NIH,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH,"Lee E Eiden, PhD"
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Charles R Gerfen, PhD",Section on Neuroanatomy,Savio  Chan,Northwestern University,EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,Rui  Costa,Allen Institute for Brain Science,EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,Aryn  Gittis,Carnegie Mellon University,EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Bryan M Hooks, PhD","University of Pittsburgh, Department of Neurobiology",EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Hidehiko  Inagaki, PhD",Max Planck Florida Institute for Neuroscience,EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,Nuo  Li,Baylor College of Medicine,EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Alexandra B Nelson, MD, PhD","University of California, San Francisco, Department of Neurology",EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Karel  Svoboda, PhD",Allen Institute for Brain Science,EM,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Huaibin  Cai, PhD",NIA,NIH,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Andrew  Holmes, PhD",NIAAA,NIH,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Richard J Krauzlis, PhD",NEI,NIH,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Da-Ting  Lin, BS, PhD",NIDA,NIH,
"Charles R Gerfen, PhD",Section on Neuroanatomy,"Negin  Martin, PhD",NIEHS,NIH,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,NIMH,"Elisha Prem Merriam, PhD"
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Manzar  Ashtari, PhD","University of Pennsylvania, School of Medicine",EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Tamar  Makin,University College London,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"H  Schone, PhD",University of Pittsburgh,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Brad  Duchaine,"Dartmouth College, Psychological and Brain Sciences",EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Avniel  Ghuman,University of Pittsburgh,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Iris  Groen,University of Amsterdam,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Martin  Hebart, PhD",Max Planck Institute for Human Cognitive and Brain Sciences,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Dwight Jacob Kravitz, PhD","George Washington University, Psychology",EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Anina  Rich,Macquarie University,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Edward  Silson,University of Edinburgh,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,Jessica  Taubert,University of Queensland,EM,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Bevil Richard Conway, PhD",NEI,NIH,
"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Kareem Amir Zaghloul, MD, PhD, BS",NINDS,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Gena Lynne Carwile Mooneyham,Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Pavan Kumar Auluck, MD, PhD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Aaron  Besterman,Rady Children's Hospital-San Diego,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Juan  Gallego,Northwell Health,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Matthew  Johnson, PhD",Broad Institute,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Joshua  Levin, Ph.D.",Broad Institute,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Emmanuel  Mignot,Stanford University,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Alexander  Sandweiss, M.D., Ph.D.","Baylor College of Medicine, Pediatric Neurology and Developmental Neuroscience",EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Jonathan D Santoro, M.D.",Children's Hospital of Los Angeles,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Michael  Wilson, MD",UCSF Benioff Children's Hospital,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Anthony  Zoghbi,Baylor College of Medicine,EM,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Avindra  Nath, MD",NINDS,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Adriana  Marques, MD",NIAID,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Eliza Meryl Gordon-Lipkin,NHGRI,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Hussam Raid Alkaissi,NIDDK,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Carlos Raul Ferreira, MD",NICHD,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Steven J Jacobson, PhD",NINDS,NIH,
"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Farinaz  Safavi, MD, PhD",NIAID,NIH,
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH,"Silvia  Lopez-Guzman, MD, PhD"
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Jennifer  Blackford, PhD","Creighton University Medical Center, Psychology",EM,
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Ned H. Kalin, MD","University of Washington, Psychiatry",EM,
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Nathan  Fox, PhD","University of Maryland, Baltimore",EM,
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Chad  Sylvester, MD, PhD","Washington University in St. Louis School of Medicine, Psychiatry",EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Xiao  Liu,Pennsylvania State University,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Colin  Reveley,University of Oxford,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Hiromasa  Takemura,Osaka University,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,"Jeff H Duyn, PhD",NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH,James Andrew Bourne
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH,"Paul Andrew Taylor, BS, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH,James Andrew Bourne
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Manzar  Ashtari, PhD","University of Pennsylvania, School of Medicine",EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Luca  Bonini,University of Parma,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Marco  Lanzilotto,University of Parma,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Marco  Tamietto,University of Turin,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Wim  Vanduffel,KU Leuven,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Kuan Hong  Wang,University of Rochester,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Xiao  Liu,Pennsylvania State University,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Fenna  Krienen,Princeton University,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Cory T Miller, PhD","University of California, San Diego, Psychology",EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Gaurav  Patel,Columbia University Medical Center,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Kuan Hong  Wang,University of Rochester,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Jeff H Duyn, PhD",NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Richard J Krauzlis, PhD",NEI,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Jeff H Duyn, PhD",NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Christopher Thomas Richie, PhD",NIDA,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Shahriar  SheikhBahaei,NINDS,NIH,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,"Michelle  Girvan, PhD","University of Maryland, College Park, Department of Physics",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Benjamin M Basile, PhD","Dickinson College, Psychology Department",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Ned H. Kalin, MD","University of Washington, Psychiatry",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Peter H Rudebeck, PhD","Icahn School of Medicine at Mount Sinai, Neuroscience",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Benjamin M Basile, PhD","Dickinson College, Psychology Department",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Steve  Chang, PhD","Yale University, Dept. of Psychology",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Jon  Kaas, PhD","Vanderbilt University, Psychology",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Peter  Rapp, PhD",NIA,NIH,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH,James Andrew Bourne
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,Grace Carolyn Alys Edwards,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Andrew Tyler Morgan, PhD",Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Marisa  Carrasco, PhD","New York University, Psychology",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Aniruddha  Das, PhD","Columbia University, Department of Neuroscience",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Justin  Gardner, PhD","Stanford University, Psychology",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Robbe  Goris, PhD","UT Austin, Center for Theoretical and Computational Neuroscience",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"David J. Heeger, PhD","New York University, Center for Neural Science",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Krystel  Huxlin, PhD","University of Rochester, Department of Ophthalmology",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Kendrick  Kay, PhD","University of Minnesota, Department of Radiology",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Tomas  Knapen, PhD","Vrije Universiteit Brussel, Department of Psychology",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"J. Anthony  Movshon, PhD","New York University, Center for Neural Science",EM,
"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Hendrikje  Nienborg, PhD, MD",NEI,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Pavan Kumar Auluck, MD, PhD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Daniel P Eisenberg,Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Sarah Kaye Williams, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Mani  Yavi,Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Seth  Ament, PhD","University of Maryland, College Park",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Edward  Bullmore, MD",University of Cambridge,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Carl  Sellgren,Karolinska Institutet,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Francis  Szele,Oxford Academic Health Science Network,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Petra  Vertes,University of Cambridge,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Seth  Ament, PhD","University of Maryland, College Park",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Ole  Andreassen,Oslo University Hospital,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,David  Glahn,Harvard University,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Thomas  Schulze,University of Göttingen,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Alan R Shuldiner, MD","University of Maryland, Baltimore",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Kory R Johnson, PhD",NINDS,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Ann C.M. Smith, MA, DSc (hon)",NHGRI,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Jizhong  Zou, PhD",NHLBI,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Morgan N Similuk,NIAID,NIH,
"Francisco  Pereira, PhD",Machine Learning Core,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Francisco  Pereira, PhD",Machine Learning Core,Martin Nikolai Hebart,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Javier  Gonzalez-Castillo, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Ana Rita Lourenco Inacio, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Jason Aaron Avery, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Amaia  Benitez Andonegui,Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Francisco  Pereira, PhD",Machine Learning Core,Eric Allen Earl,Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Francisco  Pereira, PhD",Machine Learning Core,"Isabel Sofia Fernandez, BS",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Rodolfo Jesus Flores Garcia,Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Sunday Michelle Francis,Unit on Non-invasive Neuromodulation,NIMH,"Carlos Alberto Zarate, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Samuel Erich Charles Frank,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Ramaris Elisa German,Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Francisco  Pereira, PhD",Machine Learning Core,Alison Byrd Gibbons,Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Francisco  Pereira, PhD",Machine Learning Core,Austin Matthew Greene,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Simone Paula Haller,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Daniel  Handwerker, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Lauren M Henry,Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Francisco  Pereira, PhD",Machine Learning Core,"David Coulter Jangraw, PhD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Shruti A Japee, BS, MS, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Sharif Ismail Kronemer,Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Zoe Fu Han Laky,Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Francisco  Pereira, PhD",Machine Learning Core,Cassandra Marie Levesque,Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH,"Zheng  Li, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH,"Silvia  Lopez-Guzman, MD, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Ajeet  Mandal, PhD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Peter James Molfese, PhD",Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Reut  Naim,Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Francisco  Pereira, PhD",Machine Learning Core,Matthias  Nau,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,John Joseph O'malley,Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH,"Carlos Alberto Zarate, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,Andrew Steven Persichetti,Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Francisco  Pereira, PhD",Machine Learning Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francisco  Pereira, PhD",Machine Learning Core,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
