pmid,year,human,animal,mol_cell,research
27672113,2016,0.0,0.5,0.5,True
28087539,2017,0.0,0.25,0.75,True
28185645,2017,0.0,0.6,0.4,True
28228424,2017,1.0,0.0,0.0,True
28657510,2017,1.0,0.0,0.0,True
28790138,2017,0.25,0.0,0.75,True
28835518,2017,1.0,0.0,0.0,True
29044202,2017,1.0,0.0,0.0,True
29141868,2018,0.0,0.2,0.8,True
29255621,2017,1.0,0.0,0.0,True
29304203,2020,1.0,0.0,0.0,True
29310048,2018,0.0,1.0,0.0,True
29531168,2018,0.3333333333333333,0.6666666666666666,0.0,True
29691295,2018,0.125,0.25,0.625,True
29695836,2020,0.0,0.6666666666666666,0.3333333333333333,True
29728704,2020,0.5,0.5,0.0,True
29972703,2018,1.0,0.0,0.0,True
30106347,2018,0.0,1.0,0.0,True
30108313,2020,1.0,0.0,0.0,True
30127472,2020,0.4,0.4,0.2,True
30201849,2018,1.0,0.0,0.0,True
30250452,2018,0.0,0.0,1.0,True
30325876,2021,1.0,0.0,0.0,True
30327187,2019,1.0,0.0,0.0,True
30356121,2020,0.3333333333333333,0.5,0.16666666666666666,True
30376640,2020,1.0,0.0,0.0,True
30389798,2018,0.0,0.5,0.5,True
30398411,2019,0.2,0.4,0.4,True
30448131,2020,1.0,0.0,0.0,True
30500877,2020,1.0,0.0,0.0,True
30504927,2019,0.0,0.6,0.4,True
30616705,2020,1.0,0.0,0.0,True
30626912,2020,0.0,0.6666666666666666,0.3333333333333333,True
30667329,2019,1.0,0.0,0.0,True
30692588,2020,1.0,0.0,0.0,True
30707227,2019,1.0,0.0,0.0,True
30730246,2020,0.0,1.0,0.0,True
30741729,2020,0.0,1.0,0.0,True
30796828,2020,1.0,0.0,0.0,True
30803992,2019,0.125,0.5,0.375,True
30847226,2019,1.0,0.0,0.0,True
30853189,2021,1.0,0.0,0.0,True
30874790,2020,1.0,0.0,0.0,True
30877752,2020,0.5,0.0,0.5,True
30883109,2019,0.2,0.4,0.4,True
30926780,2019,0.7142857142857143,0.0,0.2857142857142857,True
30926951,2020,1.0,0.0,0.0,True
30948489,2020,0.5,0.0,0.5,True
30953061,2020,0.5,0.0,0.5,True
30959577,2021,0.42857142857142855,0.42857142857142855,0.14285714285714285,True
30970188,2019,0.6666666666666666,0.0,0.3333333333333333,True
30989176,2020,0.7142857142857143,0.0,0.2857142857142857,True
30990519,2019,1.0,0.0,0.0,True
31003997,2019,0.0,0.6666666666666666,0.3333333333333333,True
31009537,2020,1.0,0.0,0.0,True
31054214,2020,1.0,0.0,0.0,True
31091312,2020,1.0,0.0,0.0,True
31105044,2019,0.75,0.0,0.25,True
31117928,2020,1.0,0.0,0.0,True
31127272,2019,0.14285714285714285,0.2857142857142857,0.5714285714285714,True
31127422,2020,1.0,0.0,0.0,True
31128268,2020,1.0,0.0,0.0,True
31131858,2020,0.2,0.0,0.8,True
31143935,2020,0.4,0.0,0.6,True
31160665,2020,1.0,0.0,0.0,True
31184953,2020,0.14285714285714285,0.7142857142857143,0.14285714285714285,True
31188495,2020,0.16666666666666666,0.0,0.8333333333333334,True
31190050,2020,0.5,0.0,0.5,True
31194918,2020,0.5,0.0,0.5,True
31201416,2020,0.16666666666666666,0.8333333333333334,0.0,True
31218344,2020,0.0,0.0,1.0,True
31220357,2020,0.8,0.0,0.2,True
31232448,2020,0.3333333333333333,0.6666666666666666,0.0,True
31233806,2020,0.0,0.75,0.25,True
31241767,2020,0.23076923076923078,0.15384615384615385,0.6153846153846154,True
31242781,2021,1.0,0.0,0.0,True
31264693,2020,1.0,0.0,0.0,True
31270906,2020,1.0,0.0,0.0,True
31282290,2020,0.2,0.0,0.8,True
31287558,2020,1.0,0.0,0.0,True
31298273,2020,0.6666666666666666,0.0,0.3333333333333333,True
31302638,2020,1.0,0.0,0.0,True
31302897,2020,1.0,0.0,0.0,True
31317491,2020,0.0,0.2222222222222222,0.7777777777777778,True
31320730,2020,0.0,0.42857142857142855,0.5714285714285714,True
31323381,2020,0.5,0.0,0.5,True
31326265,2020,1.0,0.0,0.0,True
31344750,2020,0.0,0.6666666666666666,0.3333333333333333,True
31345243,2019,0.0,0.6,0.4,True
31348921,2020,0.3333333333333333,0.3333333333333333,0.3333333333333333,True
31365170,2020,0.0,0.0,1.0,True
31371577,2019,0.2,0.8,0.0,True
31372757,2020,1.0,0.0,0.0,True
31372986,2020,1.0,0.0,0.0,True
31375256,2020,1.0,0.0,0.0,True
31376301,2020,0.875,0.0,0.125,True
31379005,2021,0.14285714285714285,0.2857142857142857,0.5714285714285714,True
31388190,2020,0.875,0.0,0.125,True
31389007,2020,0.5,0.5,0.0,True
31399635,2021,0.0,0.5,0.5,True
31402520,2020,1.0,0.0,0.0,True
31407130,2020,0.75,0.0,0.25,True
31412146,2020,0.75,0.0,0.25,True
31425885,2020,0.3333333333333333,0.0,0.6666666666666666,True
31427712,2019,0.0,0.4,0.6,True
31439674,2020,1.0,0.0,0.0,True
31441374,2020,0.6666666666666666,0.0,0.3333333333333333,True
31441550,2020,0.8333333333333334,0.0,0.16666666666666666,True
31444471,2021,0.3333333333333333,0.0,0.6666666666666666,True
31445059,2020,0.0,1.0,0.0,True
31460850,2020,0.0,0.0,1.0,True
31466081,2020,0.75,0.0,0.25,True
31467334,2019,0.0,0.2222222222222222,0.7777777777777778,True
31468153,2020,1.0,0.0,0.0,True
31469200,2020,0.0,0.75,0.25,True
31478597,2020,1.0,0.0,0.0,True
31493539,2020,1.0,0.0,0.0,True
31509508,2019,1.0,0.0,0.0,True
31519111,2021,1.0,0.0,0.0,True
31526779,2020,0.6666666666666666,0.0,0.3333333333333333,True
31548981,2019,0.0,1.0,0.0,True
31550240,2020,0.2,0.4,0.4,True
31555824,2020,0.625,0.25,0.125,True
31582555,2020,0.0,0.25,0.75,True
31592532,2020,1.0,0.0,0.0,True
31593352,2020,1.0,0.0,0.0,True
31595041,2020,0.1111111111111111,0.0,0.8888888888888888,True
31602694,2020,0.0,0.0,1.0,True
31604144,2020,0.5,0.0,0.5,True
31604917,2019,0.2,0.6,0.2,True
31613020,2020,0.0,0.0,1.0,True
31620364,2019,1.0,0.0,0.0,True
31620670,2019,1.0,0.0,0.0,True
31620776,2020,0.2,0.6,0.2,True
31623522,2020,0.875,0.0,0.125,True
31624376,2020,0.16666666666666666,0.6666666666666666,0.16666666666666666,True
31633839,2020,0.0,1.0,0.0,True
31634196,2020,0.75,0.0,0.25,True
31637427,2020,1.0,0.0,0.0,True
31639421,2020,0.0,0.2,0.8,True
31642423,2020,0.75,0.25,0.0,True
31644367,2020,0.0,0.75,0.25,True
